"Год/Месяц","Январь","Февраль","Март","Апрель","Май","Июнь","Июль","Август","Сентябрь","Октябрь","Ноябрь","Декабрь","Всего рабочих дней","Всего праздничных и выходных дней","Количество рабочих часов при 40-часовой рабочей неделе","Количество рабочих часов при 36-часовой рабочей неделе","Количество рабочих часов при 24-часовой рабочей неделе"
2015,"1,2+,3,4,6*,7,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28","1,7,8,14,15,21,22,28,29","4,5,11,12,18,19,20+,21,25*,26,30*","1,2,3,8*,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","2*,3,4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","3,4,10,11,17,18,24,25,31","1,6*,7,8,14,15,21,22,28,29","5,6,12,13,19,20,24*,25,26,27,31*",254,111,2024,1820.8,1211.2
2016,"1,2,3,6*,7,8+,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","5*,6,7+,8,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,7,8,9,10,14,15,21,22,28,29","4,5,11,12,18,19,25,26","2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","1,2,8,9,15,16,22,23,29,30","5,6,7,12,13,19,20,26,27","3,4,10,11,17,18,24,25,31",254,112,2030,1826.8,1217.2
2017,"1,2+,6*,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","4,5,7*,8,11,12,18,19,25,26","1,2,8,9,15,16,22,23,24+,25,29*,30","1,6*,7,8+,9,13,14,20,21,27,28","3,4,10,11,17,18,24,25","1,2,3,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,28,29","4*,5,6+,7,11,12,18,19,25,26","2,3,9,10,16,17,23,24,25,30,31",252,113,2011,1809.4,1204.6
2018,"1,2+,6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","3,4,7*,8,9+,10,11,17,18,24,25,31","1,7,8,14*,15,16+,17,21,22,28*,29,30+","1,5,6,8*,9,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,2+,3,7*,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","6,7,13,14,20,21,27,28","3,4,6*,7,10,11,17,18,24,25","1,2,8,9,15,16,22*,23,24+,25,29*,30,31+",251,114,2000,1799.2,1196.8
2019,"1,5,6,7,12,13,19,20,26,27","2,3,9,10,16,17,23,24","2,3,7*,8,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28,30*","1,4*,5,6+,7,8+,9,11*,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","2*,3,6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","5,6,12,13,19,20,26,27","2,3,6*,7,8+,9,10,16,17,23,24,30","1,7,8,14,15,21,22,24*,25,28,29,31*",251,114,2000,1799.2,1196.8
2020,"1,2,4*,5,6+,7,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29","1,7,8,14,15,21,22,28,29","4*,5,11,12,18,19,25,26,27+,28,30*","1,2,3,8*,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","2*,3,4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","3,4,10,11,17,18,24,25,31","1,6*,7,8,14,15,21,22,28,29","5,6,12,13,19,20,24*,25,26,27,31*",255,111,2032,1828,1216
2021,"1,2,3,6*,7,8+,9,10,17,23,24,30,31","6,7,13,14,20,21,27,28","6,7,8,13,14,20,21,27,28","3,4,10,11,17,18,24,25,30*","1,2,8,9,10+,11,15*,16,22,23,29,30","5,6,12,13,19,20,26,27","2*,3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","4,5,11,12,18,19,24*,25,26,31*",257,108,2050,1844.4,1227.6
2022,"1,2,6*,7,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","5,6,7+,8,12*,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,2+,3,7,8,9,14*,15,21,22,28,29","4,5,11,12,18,19,25,26","2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","1,2,8,9,15,16,22,23,29,30","5,6,7,12,13,19,20,26,27","3,4,10,11,17,18,24,25,31",255,110,2037,1833,1221
2023,"1,2,6*,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","4,5,7*,8,11,12,18,19,25,26","1,2,8,9,15,16,22,23,24+,25,29*,30","1,6,7,8+,9,13*,14,20,21,27,28","3,4,10,11,17,18,24,25","1,2,3,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,28,29","4,5,6+,7,11*,12,18,19,25,26","2,3,9,10,16,17,23,24,25,30,31",252,113,2011,1809.4,1204.6
2024,"1,2,6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","2,3,7*,8,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28,30*","1,4,5,8*,9,11,12,13*,14,18,19,25,26","1,2,8,9,15,16,22,23,29,30","2*,3,6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","5,6,12,13,19,20,26,27","2,3,6*,7,9,10,16,17,23,24,30","1,7,8,14,15,21,22,24*,25,28,29,31*",253,113,2016,1813.6000000000001,1206.3999999999999
