"Год/Месяц","Январь","Февраль","Март","Апрель","Май","Июнь","Июль","Август","Сентябрь","Октябрь","Ноябрь","Декабрь","Всего рабочих дней","Всего праздничных и выходных дней","Количество рабочих часов при 40-часовой рабочей неделе","Количество рабочих часов при 36-часовой рабочей неделе","Количество рабочих часов при 24-часовой рабочей неделе"
2015,"1,2,3,4,7,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28","1,7,8,9+,14,15,21,22,23,24+,25+,28,29","4,5,11,12,18,19,25,26","1,2,3,7,9,10,11+,16,17,23,24,30,31","6,7,13,14,20,21,27,28","4,5,6,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30,31+","5,6,12,13,19,20,24,26,27","3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","1,5,6,12,13,16,17,19,20,26,27",245,120,1960,1764,1176
2016,"1,2,3,4+,7,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","5,6,7+,8,12,13,19,20,21,22,23,26,27","2,3,9,10,16,17,23,24,30","1,2+,7,8,9,10+,14,15,21,22,28,29","4,5,11,12,18,19,25,26","2,3,6,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28,30","3,4,10,11,12,17,18,24,25","1,2,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","1,3,4,10,11,16,17,18,19+,24,25,31",244,122,1952,1756.8,1171.2
2017,"1,2,3+,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","4,5,8,11,12,18,19,20+,21,22,23,25,26","1,2,8,9,15,16,22,23,29,30","1,6,7,8+,9,13,14,20,21,27,28","3,4,10,11,17,18,24,25","1,2,6,7+,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27,30","2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","1,2,3,9,10,16,17,18+,19+,23,24,30,31",244,121,1952,1756.8,1171.2
2018,"1,2,6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","3,4,8,9+,10,11,17,18,21,22,23,24,25,31","1,7,8,14,15,21,22,28,29,30+","1,5,6,7,8+,9,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,6,7,8,14,15,21,22,28,29","4,5,11,12,18,19,21,25,26,30,31+","1,2,8,9,15,16,22,23,29,30","6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","1,2,3+,8,9,15,16,17,18+,22,23,29,30,31+",241,124,1928,1735.2,1156.8
2019,"1,2,5,6,7,12,13,19,20,26,27","2,3,9,10,16,17,23,24","2,3,8,9,10,16,17,21,22,23,24,25+,30,31","6,7,13,14,20,21,27,28","1,4,5,7,9,10+,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","6,7,8+,13,14,20,21,27,28","3,4,10,11,17,18,24,25,30,31","1,7,8,14,15,21,22,28,29","5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,2+,7,8,14,15,16,17,21,22,28,29",245,120,1960,1764,1176
2020,"1,2,3+,4,5,7,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29","1,7,8,9+,14,15,21,22,23,24+,25+,28,29","4,5,11,12,18,19,25,26","1,2,3,7,8+,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","4,5,6,11,12,18,19,25,26,31","1,2,8,9,15,16,22,23,29,30,31+","5,6,12,13,19,20,26,27","3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","1,5,6,12,13,16,17,18+,19,20,26,27",244,122,1952,1756.8,1171.2
2021,"1,2,3,4+,7,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","6,7,8,13,14,20,21,22,23,24+,27,28","3,4,10,11,17,18,24,25","1,2,3+,7,8,9,10+,15,16,22,23,29,30","5,6,12,13,19,20,26,27","3,4,5+,6,10,11,17,18,20,24,25,31","1,7,8,14,15,21,22,28,29,30","4,5,11,12,18,19,25,26","2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","1,4,5,11,12,16,17,18,19,25,26",244,121,1952,1756.8,1171.2
2022,"1,2,3+,4+,7,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","6,7+,8,12,13,19,20,21,22,23,26,27","2,3,9,10,16,17,23,24,30","1,2+,7,8+,9,14,15,21,22,28,29","4,5,11,12,18,19,25,26","2,3,6,9,10,16,17,23,24,30,31","6,7,13,14,20,21,28,29+,30","3,4,10,11,17,18,24,25","1,2,8,9,15,16,23,24+,25,29,30","5,6,12,13,19,20,26,27","3,4,10,11,16,17,18,24,25,31",247,118,1976,1778.4,1185.6
2023,"1,2,3+,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","4,5,8,11,12,18,19,21,22,23,25,26","1,2,8,9,15,16,22,23,29,30","1,6,7,8+,9,13,14,20,21,27,28","3,4,10,11,17,18,24,25,28","2,6,7+,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27,30","2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,25,28,29","4,5,11,12,18,19,25,26","2,3,9,10,16,17,18+,23,24,30,31",246,119,1968,1771.2,1180.8
2024,"1,2,6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","2,3,8,9,10,16,17,21,22,23,24,30,31","6,7,13,14,20,21,27,28","1,4,5,7,9,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25,30,31","1,7,8,14,15,21,22,28,29","5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,7,8,14,15,16,17,21,22,28,29",251,115,2008,1807.2,1204.8
